iter	MultiClass
0	1.321909116
1	1.265295145
2	1.208206958
3	1.157009097
4	1.11388801
5	1.073282678
6	1.034770875
7	1.002525509
8	0.9758850037
9	0.9525489809
10	0.9314238596
11	0.9114391516
12	0.8904979746
13	0.8709714665
14	0.8523576913
15	0.8385778571
16	0.8231987568
17	0.8087803166
18	0.7945665476
19	0.7822106232
20	0.7703687097
21	0.7579225395
22	0.7481731061
23	0.7389219769
24	0.7294931432
25	0.7218263332
26	0.7128631618
27	0.7040582604
28	0.6974580999
29	0.6908953313
30	0.6831691368
31	0.6749736502
32	0.6682607574
33	0.6618229506
34	0.6571008391
35	0.6519667662
36	0.6472100484
37	0.6420766551
38	0.636564217
39	0.6319950551
40	0.6280448996
41	0.62464641
42	0.620424937
43	0.6169958734
44	0.6130140027
45	0.6095211648
46	0.6046087419
47	0.6007725829
48	0.5966368884
49	0.5932859703
50	0.5906471369
51	0.5859498588
52	0.5821683061
53	0.5793383071
54	0.5744677512
55	0.5713991042
56	0.5680366364
57	0.5655846845
58	0.5624116789
59	0.5596028978
60	0.5576419408
61	0.5555426972
62	0.5522508194
63	0.5502063009
64	0.5479580648
65	0.5459773723
66	0.5434352099
67	0.5414750459
68	0.539469896
69	0.5375072792
70	0.5351899719
71	0.5312349278
72	0.5292854438
73	0.5266337442
74	0.5237764378
75	0.5207431923
76	0.5175215796
77	0.5156732775
78	0.5136917637
79	0.5111879124
80	0.5088040665
81	0.5060684413
82	0.5034010632
83	0.5016092688
84	0.4990887791
85	0.4968774054
86	0.4955278719
87	0.4930801655
88	0.4914675321
89	0.4892228434
90	0.4871126844
91	0.4848551998
92	0.482174062
93	0.4790615322
94	0.4762937955
95	0.4731190994
96	0.4705578438
97	0.4688214997
98	0.4664927154
99	0.4644724944
100	0.4629828246
101	0.4607225277
102	0.4592045815
103	0.4572383472
104	0.4557975784
105	0.4537438222
106	0.4525181583
107	0.4515159639
108	0.4493086228
109	0.4472620629
110	0.4455151906
111	0.4434874114
112	0.4416427546
113	0.4390843734
114	0.4369446803
115	0.4355785583
116	0.4334183791
117	0.4303739893
118	0.4283581996
119	0.4267075974
120	0.4249800427
121	0.423743287
122	0.4223915563
123	0.4199643086
124	0.4184847131
125	0.4171298552
126	0.4156489979
127	0.4136073133
128	0.4117546339
129	0.4097612254
130	0.4081743018
131	0.4061399636
132	0.4045655937
133	0.4031796023
134	0.4016657978
135	0.400008558
136	0.3985296685
137	0.3969320733
138	0.395931268
139	0.3945431543
140	0.3926437672
141	0.3904457534
142	0.3892457832
143	0.3880323903
144	0.3863081791
145	0.384831764
146	0.383489191
147	0.3822230825
148	0.3813399915
149	0.3799799346
150	0.3785612854
151	0.377234423
152	0.3757677304
153	0.3750555624
154	0.3738712931
155	0.3722413527
156	0.37126316
157	0.369863127
158	0.3688383244
159	0.3673754993
160	0.3656584303
161	0.3644822781
162	0.3634490578
163	0.3626742881
164	0.3615666047
165	0.3603395528
166	0.3592717868
167	0.3571260852
168	0.3557714617
169	0.3543551511
170	0.3534098935
171	0.3517098097
172	0.3503352676
173	0.3494238145
174	0.3481402765
175	0.346410723
176	0.3454441013
177	0.3441255419
178	0.3431785202
179	0.3425377242
180	0.3414254284
181	0.3407096643
182	0.3397546801
183	0.3385627204
184	0.3374532623
185	0.3367134219
186	0.3357598666
187	0.3353933697
188	0.3337748917
189	0.333219955
190	0.3319521454
191	0.3312486536
192	0.3301097964
193	0.329546083
194	0.3285521453
195	0.3277738531
196	0.326907042
197	0.3257271524
198	0.3243422712
199	0.323168214
200	0.3223399793
201	0.3213534684
202	0.3207011519
