iter	RMSE
247	2.891502674
248	2.890483595
249	2.889101884
250	2.884862298
251	2.884206935
252	2.880515592
253	2.878748151
254	2.877916077
255	2.872012056
256	2.870113349
257	2.866383027
258	2.86570775
259	2.863072036
260	2.859986653
261	2.856496536
262	2.853503645
263	2.849709565
264	2.846043962
265	2.843140215
266	2.840529307
267	2.839971895
268	2.836852722
269	2.834391959
270	2.831531849
271	2.830997724
272	2.828510797
273	2.828000658
274	2.827569331
275	2.826208548
276	2.823481399
277	2.820807175
278	2.818616289
279	2.81531426
280	2.812054629
281	2.809927296
282	2.807911785
283	2.80506073
284	2.803370834
285	2.801749767
286	2.798484018
287	2.796801888
288	2.794547353
289	2.790244704
290	2.786974618
291	2.784896348
292	2.782539646
293	2.780190047
294	2.77754136
295	2.777136403
296	2.776749158
297	2.773376838
298	2.770645454
299	2.768182991
300	2.765942116
301	2.761774461
302	2.759869301
303	2.754000312
304	2.751007913
305	2.750643435
306	2.748251925
307	2.744715392
308	2.742606864
309	2.73935062
310	2.737391778
311	2.733768104
312	2.73337155
313	2.732476636
314	2.731983547
315	2.72849155
316	2.723930602
317	2.722952824
318	2.721551126
319	2.718556157
320	2.717837953
321	2.714413668
322	2.710620369
323	2.710080793
324	2.707271408
325	2.705255663
326	2.702605509
327	2.700598019
328	2.700158451
329	2.696940289
330	2.693314568
331	2.691420589
332	2.688336166
333	2.685759736
334	2.683020562
335	2.680237182
336	2.67990398
337	2.677406128
338	2.676988853
339	2.674874223
340	2.674503824
341	2.67117518
342	2.669750152
343	2.666924872
344	2.664032338
345	2.662145601
346	2.659083134
347	2.658693736
348	2.658125938
349	2.654758429
350	2.651365424
351	2.64888397
352	2.647416763
353	2.647007506
354	2.645262842
355	2.643433063
356	2.641484602
357	2.63872362
358	2.637106034
359	2.636880788
360	2.636106256
361	2.635826727
362	2.634175095
363	2.633823469
364	2.632577644
365	2.631360279
366	2.629656372
367	2.628308723
368	2.625727819
369	2.622454473
370	2.619813314
371	2.619481538
372	2.617056803
373	2.616625641
374	2.615052887
375	2.614753981
376	2.611641553
377	2.609871734
378	2.607601738
379	2.6056763
380	2.602026404
381	2.601824675
382	2.601569907
383	2.598381107
384	2.597453986
385	2.595081773
386	2.593554349
387	2.59254575
388	2.589097334
389	2.586547701
390	2.58268038
391	2.580406994
392	2.579013006
393	2.576561745
394	2.574437956
395	2.571478022
396	2.570128275
397	2.568722129
398	2.563724175
399	2.56199792
400	2.560838554
401	2.558370576
402	2.556950368
403	2.554642258
404	2.55318475
405	2.552268064
406	2.55035589
407	2.5491875
408	2.547342611
409	2.54483903
410	2.543662655
411	2.541528193
412	2.540752332
413	2.540015263
414	2.538300573
415	2.536429221
416	2.533318438
417	2.532936612
418	2.530144469
419	2.529131558
420	2.527139538
421	2.526765587
422	2.524938954
423	2.523651182
424	2.521397593
425	2.51886602
426	2.517485112
427	2.514644466
428	2.512825495
429	2.510731958
430	2.510479556
431	2.507750943
432	2.506516792
433	2.504776413
434	2.503300203
435	2.502966833
436	2.502025471
437	2.499832556
438	2.497480328
439	2.495570911
440	2.495336931
441	2.492974766
442	2.490918376
443	2.489158503
444	2.486921488
445	2.485181273
446	2.484120342
447	2.482624228
448	2.482351568
449	2.482001469
450	2.478108104
451	2.477826016
452	2.477585452
453	2.477306168
454	2.475386149
455	2.474380137
456	2.472906058
457	2.471253972
458	2.468518779
459	2.466150816
460	2.464683202
461	2.46226005
462	2.460866783
463	2.459363073
464	2.456909606
465	2.455319794
466	2.455041535
467	2.454112871
468	2.451929272
469	2.45069986
470	2.44997558
471	2.449357771
472	2.44908397
473	2.448750948
474	2.446825707
475	2.44565406
476	2.445437895
477	2.443568598
478	2.44248759
479	2.439392451
480	2.437636823
481	2.436201651
482	2.434300872
483	2.433590163
484	2.430414974
485	2.430274938
486	2.429941802
487	2.429623101
488	2.427750478
489	2.425732016
490	2.423538065
491	2.423074216
492	2.421671749
493	2.421434113
494	2.419913213
495	2.418048407
496	2.41691473
497	2.416710191
498	2.415076088
499	2.413886622
